date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:18:44	145/145	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:47%20GMT	https://github.com/firstopinion/formatter.js/compare/pedrocatre:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/pedrocatre_master...832.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:46	148/148	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:48%20GMT	https://github.com/firstopinion/formatter.js/compare/phamthaithinh:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/phamthaithinh_master...833.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:47	144/144	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:49%20GMT	https://github.com/firstopinion/formatter.js/compare/priestd09:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/priestd09_master...834.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:48	142/142	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:50%20GMT	https://github.com/firstopinion/formatter.js/compare/proch04:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/proch04_master...835.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:49	148/148	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:51%20GMT	https://github.com/firstopinion/formatter.js/compare/ramoncaldeira:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/ramoncaldeira_master...836.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:50	146/146	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:52%20GMT	https://github.com/firstopinion/formatter.js/compare/redtailtech:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/redtailtech_master...837.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:51	143/143	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:54%20GMT	https://github.com/firstopinion/formatter.js/compare/resfront:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/resfront_master...838.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:52	149/149	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:55%20GMT	https://github.com/firstopinion/formatter.js/compare/rgerstenberger:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/rgerstenberger_master...839.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:54	144/144	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:56%20GMT	https://github.com/firstopinion/formatter.js/compare/royriojas:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/royriojas_master...83a.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:55	146/146	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:57%20GMT	https://github.com/firstopinion/formatter.js/compare/roywang1985:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/roywang1985_master...83b.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:56	142/142	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:58%20GMT	https://github.com/firstopinion/formatter.js/compare/sebzuki:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/sebzuki_master...83c.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:57	143/143	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:59%20GMT	https://github.com/firstopinion/formatter.js/compare/shaan360:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/shaan360_master...83d.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:58	143/143	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:19:00%20GMT	https://github.com/firstopinion/formatter.js/compare/shaunnez:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/shaunnez_master...83e.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:59	143/143	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:19:02%20GMT	https://github.com/firstopinion/formatter.js/compare/shipstar:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/shipstar_master...83f.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:19:01	143/143	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:19:03%20GMT	https://github.com/firstopinion/formatter.js/compare/shiziwen:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/shiziwen_master...840.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:19:02	142/142	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:19:04%20GMT	https://github.com/firstopinion/formatter.js/compare/sibljon:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/sibljon_master...841.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:19:03	151/151	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:19:05%20GMT	https://github.com/firstopinion/formatter.js/compare/smashstack-aeros:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/smashstack-aeros_master...842.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:19:04	141/141	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:19:07%20GMT	https://github.com/firstopinion/formatter.js/compare/smaury:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/smaury_master...843.delayed	(from https://github.com/firstopinion/formatter.js/compare)
